Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 5.250% APR
Monthly Payment = $1,205.82
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                150,000.00
   1           656.25              549.57           149,450.43          130.00
   2           653.85              551.97           148,898.46          130.00
   3           651.43              554.39           148,344.07          130.00
   4           649.01              556.81           147,787.26          130.00
   5           646.57              559.25           147,228.01          130.00
   6           644.12              561.70           146,666.31          130.00
   7           641.67              564.15           146,102.16          130.00
   8           639.20              566.62           145,535.54          130.00
   9           636.72              569.10           144,966.44          130.00
  10           634.23              571.59           144,394.85          130.00
  11           631.73              574.09           143,820.76          130.00
  12           629.22              576.60           143,244.16          130.00
  13           626.69              579.13           142,665.03          130.00
  14           624.16              581.66           142,083.37          130.00
  15           621.61              584.21           141,499.16          130.00
  16           619.06              586.76           140,912.40          130.00
  17           616.49              589.33           140,323.07          130.00
  18           613.91              591.91           139,731.16          130.00
  19           611.32              594.50           139,136.66          130.00
  20           608.72              597.10           138,539.56          130.00
  21           606.11              599.71           137,939.85          130.00
  22           603.49              602.33           137,337.52          130.00
  23           600.85              604.97           136,732.55          130.00
  24           598.20              607.62           136,124.93          130.00
  25           595.55              610.27           135,514.66          130.00
  26           592.88              612.94           134,901.72          130.00
  27           590.20              615.62           134,286.10          130.00
  28           587.50              618.32           133,667.78          130.00
  29           584.80              621.02           133,046.76          130.00
  30           582.08              623.74           132,423.02          130.00
  31           579.35              626.47           131,796.55          130.00
  32           576.61              629.21           131,167.34          130.00
  33           573.86              631.96           130,535.38          130.00
  34           571.09              634.73           129,900.65          130.00
  35           568.32              637.50           129,263.15          130.00
  36           565.53              640.29           128,622.86          130.00
  37           562.73              643.09           127,979.77          130.00
  38           559.91              645.91           127,333.86          130.00
  39           557.09              648.73           126,685.13          130.00
  40           554.25              651.57           126,033.56          130.00
  41           551.40              654.42           125,379.14          130.00
  42           548.53              657.29           124,721.85          130.00
